Date,Open,High,Low,Close,Volume
19-Jan-14,45.75,46.45,44.1,45.6,1669649.9
19-Jan-14,972.65,1005,955,989.35,32043299.9
19-Jan-14,222.65,224.5,216.1,222.35,48274774.05
19-Jan-14,714,749,711.15,741.75,71541461.15
19-Jan-14,640,668.9,636.55,665.2,230092074.6
19-Jan-14,83,83,79.1,80.8,1601089.45
19-Jan-14,372.25,377.2,365.1,372.1,14288166.4
19-Jan-14,565.05,575,558.45,570.6,7960985.85
19-Jan-14,130.55,133.9,126.1,129.55,3025127.95
19-Jan-14,171.9,171.9,171.9,171.9,171900
19-Jan-14,146.25,147.65,144.15,145.45,525370137.5
19-Jan-14,270,274.95,265.5,268.9,353213.85
19-Jan-14,1933.95,1943.85,1490.05,1932.75,4157130.9
19-Jan-14,142,146,140,141.35,4733600
19-Jan-14,530,535,517.25,531.6,206656653.4
19-Jan-14,685,687.3,666,675.25,19484798.65
19-Jan-14,44.75,45.45,43.6,44.7,268991367.8
19-Jan-14,192,192,147.1,149.45,24256242.4
19-Jan-14,259,264.2,252.1,257.6,32086556.1
19-Jan-14,468.5,471.6,459.65,468.75,1565813548
19-Jan-14,9.8,10.3,9.8,9.8,343333.15
19-Jan-14,50.9,51.3,47.3,48.05,3977732
19-Jan-14,389,389,352.85,353.85,26708088.3
19-Jan-14,3.95,4.1,3.75,3.95,37858515.3
19-Jan-14,7.25,7.35,6.7,6.95,367677.25
19-Jan-14,422,425,420,423.25,4322146.3
19-Jan-14,438,438,414.05,424.95,13386055.8
